Time,Job,Log Code,Description
01.04.00,STC01050,IEF695I ,"IEF695I START CUZCLOU2 WITH JOBNAME CUZCLOU2 IS ASSIGNED TO USER CUZUSER , GROUP STCGROUP"
01.04.00,STC01050  ,CUZ0027I,CUZ#MAIN-zIIP Processing Enabled
01.04.42,STC01050,CUZ0100I,ZIIPTIME:0000.00/CPUTIME:0000.01/TCBTIME:0000.00/UPLOAD /DSN=RSTEST.CUZ.THREE.ONE.TWO
01.07.57,STC01050,CUZ2403E,CUZ#STCL-Invalid Cloud End Status / ECB Post encountered
01.08.35,STC01050,CUZ2403E,CUZ#STCL-Invalid Cloud End Status / ECB Post encountered
01.10.21,STC01050,CUZ2403E,CUZ#STCL-Invalid Cloud End Status / ECB Post encountered
